Performance Statistics   2020-07-22 09:44:00 - 2020-07-22 09:46:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count
Performance Statistics   2020-07-22 16:52:00 - 2020-07-22 16:54:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count

Performance Statistics   2020-07-22 16:54:00 - 2020-07-22 16:56:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count

Performance Statistics   2020-07-22 16:56:00 - 2020-07-22 16:58:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count

Performance Statistics   2020-07-22 16:58:00 - 2020-07-22 17:00:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count

Performance Statistics   2020-07-22 17:00:00 - 2020-07-22 17:02:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count
MenuItem.medications_CountryOfRegistration.browse       467,0         467         467         0,0           1
MenuItem.medications_MedicationEntity.browse            76,0          76          76         0,0           1
MenuItem.medications_RegistrationStatus.browse         113,0         113         113         0,0           1
login#afterShow                                          0,0           0           0         0,0           2
login#beforeShow                                         1,5           0           3         1,5           2
login#create                                           127,5           3         252       124,5           2
login#init                                              18,5           0          37        18,5           2
login#inject                                            45,5           0          91        45,5           2
login#load                                             266,5          27         506       239,5           2
login#uiPermissions                                      0,0           0           0         0,0           2
login#xml                                                6,5           0          13         6,5           2
main#afterShow                                        1901,0        1901        1901         0,0           1
main#beforeShow                                          0,0           0           0         0,0           1
main#create                                             44,0          44          44         0,0           1
main#init                                               21,0          21          21         0,0           1
main#inject                                             10,0          10          10         0,0           1
main#load                                              279,0         279         279         0,0           1
main#uiPermissions                                       0,0           0           0         0,0           1
main#xml                                                 5,0           5           5         0,0           1
medications_CountryOfRegistration.browse#afterShow         0,0           0           0         0,0           1
medications_CountryOfRegistration.browse#beforeShow        82,0          82          82         0,0           1
medications_CountryOfRegistration.browse#create          3,0           3           3         0,0           1
medications_CountryOfRegistration.browse#init            0,0           0           0         0,0           1
medications_CountryOfRegistration.browse#inject          1,0           1           1         0,0           1
medications_CountryOfRegistration.browse#load          327,0         327         327         0,0           1
medications_CountryOfRegistration.browse#uiPermissions         0,0           0           0         0,0           1
medications_CountryOfRegistration.browse#xml             2,0           2           2         0,0           1
medications_MedicationEntity.browse#afterShow            0,0           0           0         0,0           1
medications_MedicationEntity.browse#beforeShow          12,0          12          12         0,0           1
medications_MedicationEntity.browse#create               2,0           2           2         0,0           1
medications_MedicationEntity.browse#init                 0,0           0           0         0,0           1
medications_MedicationEntity.browse#inject               0,0           0           0         0,0           1
medications_MedicationEntity.browse#load                31,0          31          31         0,0           1
medications_MedicationEntity.browse#uiPermissions         0,0           0           0         0,0           1
medications_MedicationEntity.browse#xml                  1,0           1           1         0,0           1
medications_RegistrationStatus.browse#afterShow          0,0           0           0         0,0           2
medications_RegistrationStatus.browse#beforeShow        97,5          23         172        74,5           2
medications_RegistrationStatus.browse#create            36,5           2          71        34,5           2
medications_RegistrationStatus.browse#init               1,5           0           3         1,5           2
medications_RegistrationStatus.browse#inject             1,0           0           2         1,0           2
medications_RegistrationStatus.browse#load             753,0          46        1460       707,0           2
medications_RegistrationStatus.browse#uiPermissions         0,0           0           0         0,0           2
medications_RegistrationStatus.browse#xml                4,0           0           8         4,0           2

Performance Statistics   2020-07-22 17:02:00 - 2020-07-22 17:04:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count

Performance Statistics   2020-07-22 17:04:00 - 2020-07-22 17:06:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count

Performance Statistics   2020-07-22 17:06:00 - 2020-07-22 17:08:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count

Performance Statistics   2020-07-22 17:08:00 - 2020-07-22 17:10:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count

Performance Statistics   2020-07-22 17:10:00 - 2020-07-22 17:12:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count

Performance Statistics   2020-07-22 17:12:00 - 2020-07-22 17:14:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count

Performance Statistics   2020-07-22 17:14:00 - 2020-07-22 17:16:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count

Performance Statistics   2020-07-22 17:16:00 - 2020-07-22 17:18:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count

Performance Statistics   2020-07-22 17:18:00 - 2020-07-22 17:20:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count

Performance Statistics   2020-07-22 17:20:00 - 2020-07-22 17:22:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count

Performance Statistics   2020-07-22 17:22:00 - 2020-07-22 17:24:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count

Performance Statistics   2020-07-22 17:24:00 - 2020-07-22 17:26:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count

Performance Statistics   2020-07-22 17:26:00 - 2020-07-22 17:28:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count
MenuItem.entityInspector.browse                        184,0         184         184         0,0           1
MenuItem.medications_MedicationEntity.browse            85,0          85          85         0,0           1
addCondition#afterShow                                   0,0           0           0         0,0           1
addCondition#beforeShow                                  0,0           0           0         0,0           1
addCondition#create                                     44,0          44          44         0,0           1
addCondition#init                                       20,0          20          20         0,0           1
addCondition#inject                                     22,0          22          22         0,0           1
addCondition#load                                      112,0         112         112         0,0           1
addCondition#uiPermissions                               0,0           0           0         0,0           1
addCondition#xml                                         0,3           0           2         0,7           6
addCondition@conditionDescriptorsDs                      1,0           1           1         0,0           1
entityInspector.browse#afterShow                         0,0           0           0         0,0           1
entityInspector.browse#beforeShow                        0,0           0           0         0,0           1
entityInspector.browse#companion                         1,0           1           1         0,0           1
entityInspector.browse#create                            6,0           6           6         0,0           1
entityInspector.browse#init                             53,0          53          53         0,0           1
entityInspector.browse#inject                           51,0          51          51         0,0           1
entityInspector.browse#load                             19,0          19          19         0,0           1
entityInspector.browse#uiPermissions                     0,0           0           0         0,0           1
entityInspector.browse#xml                               3,0           0           6         3,0           2
entityInspector.browse.lookupWindowActions#init          0,0           0           0         0,0           1
entityInspector.browse@entitiesDs                      166,0          14         430       187,4           3
lookupWindowActions#create                              25,0          25          25         0,0           1
lookupWindowActions#inject                               4,0           4           4         0,0           1
lookupWindowActions#load                                 4,0           4           4         0,0           1
lookupWindowActions#xml                                  0,5           0           1         0,5           2
medications_MedicationEntity.browse#afterShow            0,0           0           0         0,0           1
medications_MedicationEntity.browse#beforeShow           8,0           8           8         0,0           1
medications_MedicationEntity.browse#create               5,0           5           5         0,0           1
medications_MedicationEntity.browse#init                 0,0           0           0         0,0           1
medications_MedicationEntity.browse#inject               0,0           0           0         0,0           1
medications_MedicationEntity.browse#load                43,0          43          43         0,0           1
medications_MedicationEntity.browse#uiPermissions         0,0           0           0         0,0           1
medications_MedicationEntity.browse#xml                  0,0           0           0         0,0           1

Performance Statistics   2020-07-22 17:28:00 - 2020-07-22 17:30:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count

Performance Statistics   2020-07-22 17:30:00 - 2020-07-22 17:32:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count

Performance Statistics   2020-07-22 17:32:00 - 2020-07-22 17:34:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count

Performance Statistics   2020-07-22 17:34:00 - 2020-07-22 17:36:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count

Performance Statistics   2020-07-22 17:36:00 - 2020-07-22 17:38:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count

Performance Statistics   2020-07-22 17:38:00 - 2020-07-22 17:40:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count

Performance Statistics   2020-07-22 17:40:00 - 2020-07-22 17:42:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count

Performance Statistics   2020-07-22 17:42:00 - 2020-07-22 17:44:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count

Performance Statistics   2020-07-22 17:44:00 - 2020-07-22 17:46:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count

Performance Statistics   2020-07-22 17:46:00 - 2020-07-22 17:48:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count

Performance Statistics   2020-07-22 17:48:00 - 2020-07-22 17:50:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count

Performance Statistics   2020-07-22 17:50:00 - 2020-07-22 17:52:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count

Performance Statistics   2020-07-22 17:52:00 - 2020-07-22 17:54:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count

Performance Statistics   2020-07-22 17:54:00 - 2020-07-22 17:56:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count

Performance Statistics   2020-07-22 17:56:00 - 2020-07-22 17:58:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count

Performance Statistics   2020-07-22 17:58:00 - 2020-07-22 18:00:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count

Performance Statistics   2020-07-22 18:00:00 - 2020-07-22 18:02:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count

Performance Statistics   2020-07-22 18:02:00 - 2020-07-22 18:04:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count

Performance Statistics   2020-07-22 18:04:00 - 2020-07-22 18:06:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count

Performance Statistics   2020-07-22 18:06:00 - 2020-07-22 18:08:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count

Performance Statistics   2020-07-22 18:08:00 - 2020-07-22 18:10:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count

Performance Statistics   2020-07-22 18:10:00 - 2020-07-22 18:12:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count

Performance Statistics   2020-07-22 18:54:00 - 2020-07-22 18:56:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count
MenuItem.medications_MedicationEntity.browse           777,0         777         777         0,0           1
MenuItem.medications_RegistrationStatus.browse         190,0         190         190         0,0           1
entityInspector.browse#afterShow                         0,0           0           0         0,0           1
entityInspector.browse#beforeShow                        0,0           0           0         0,0           1
entityInspector.browse#companion                         2,0           2           2         0,0           1
entityInspector.browse#create                           10,0          10          10         0,0           1
entityInspector.browse#init                            221,0         221         221         0,0           1
entityInspector.browse#inject                           76,0          76          76         0,0           1
entityInspector.browse#load                             43,0          43          43         0,0           1
entityInspector.browse#uiPermissions                     0,0           0           0         0,0           1
entityInspector.browse#xml                               3,3           2           6         1,9           3
entityInspector.browse.lookupWindowActions#init          0,0           0           0         0,0           1
login#afterShow                                          0,0           0           0         0,0           2
login#beforeShow                                         1,5           0           3         1,5           2
login#create                                           184,5           3         366       181,5           2
login#init                                              37,0           0          74        37,0           2
login#inject                                            61,5           0         123        61,5           2
login#load                                             361,0          27         695       334,0           2
login#uiPermissions                                      0,5           0           1         0,5           2
login#xml                                                8,5           0          17         8,5           2
lookupWindowActions#create                              39,0          39          39         0,0           1
lookupWindowActions#inject                              31,0          31          31         0,0           1
lookupWindowActions#load                                15,0          15          15         0,0           1
lookupWindowActions#xml                                  1,5           1           2         0,5           2
main#afterShow                                        2090,0        2090        2090         0,0           1
main#beforeShow                                          0,0           0           0         0,0           1
main#create                                             23,0          23          23         0,0           1
main#init                                               32,0          32          32         0,0           1
main#inject                                             12,0          12          12         0,0           1
main#load                                              270,0         270         270         0,0           1
main#uiPermissions                                       0,0           0           0         0,0           1
main#xml                                                 5,0           5           5         0,0           1
medications_MedicationEntity.browse#afterShow            0,0           0           0         0,0           1
medications_MedicationEntity.browse#beforeShow          43,0          43          43         0,0           1
medications_MedicationEntity.browse#create               2,0           2           2         0,0           1
medications_MedicationEntity.browse#init                 0,0           0           0         0,0           1
medications_MedicationEntity.browse#inject               5,0           5           5         0,0           1
medications_MedicationEntity.browse#load               511,0         511         511         0,0           1
medications_MedicationEntity.browse#uiPermissions         0,0           0           0         0,0           1
medications_MedicationEntity.browse#xml                  2,0           2           2         0,0           1
medications_RegistrationStatus.browse#afterShow          0,0           0           0         0,0           2
medications_RegistrationStatus.browse#beforeShow       116,0          57         175        59,0           2
medications_RegistrationStatus.browse#create            28,0           3          53        25,0           2
medications_RegistrationStatus.browse#init               4,5           0           9         4,5           2
medications_RegistrationStatus.browse#inject             1,5           0           3         1,5           2
medications_RegistrationStatus.browse#load             838,5          64        1613       774,5           2
medications_RegistrationStatus.browse#uiPermissions         0,0           0           0         0,0           2
medications_RegistrationStatus.browse#xml                4,5           0           9         4,5           2
sysInfoWindow#afterShow                                  0,0           0           0         0,0           1
sysInfoWindow#beforeShow                                 7,0           7           7         0,0           1
sysInfoWindow#companion                                  2,0           2           2         0,0           1
sysInfoWindow#create                                    25,0          25          25         0,0           1
sysInfoWindow#init                                      52,0          52          52         0,0           1
sysInfoWindow#inject                                    17,0          17          17         0,0           1
sysInfoWindow#load                                     110,0         110         110         0,0           1
sysInfoWindow#uiPermissions                              0,0           0           0         0,0           1
sysInfoWindow#xml                                        2,6           0          13         5,2           5

Performance Statistics   2020-07-22 18:56:00 - 2020-07-22 18:58:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count

Performance Statistics   2020-07-22 18:58:00 - 2020-07-22 19:00:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count

Performance Statistics   2020-07-22 19:00:00 - 2020-07-22 19:02:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count

Performance Statistics   2020-07-22 19:02:00 - 2020-07-22 19:04:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count

Performance Statistics   2020-07-22 19:04:00 - 2020-07-22 19:06:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count

Performance Statistics   2020-07-22 19:06:00 - 2020-07-22 19:08:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count

Performance Statistics   2020-07-22 19:08:00 - 2020-07-22 19:10:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count

Performance Statistics   2020-07-22 19:10:00 - 2020-07-22 19:12:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count
sysInfoWindow#afterShow                                  0,0           0           0         0,0           1
sysInfoWindow#beforeShow                                 0,0           0           0         0,0           1
sysInfoWindow#companion                                  0,0           0           0         0,0           1
sysInfoWindow#create                                     3,0           3           3         0,0           1
sysInfoWindow#init                                      19,0          19          19         0,0           1
sysInfoWindow#inject                                     0,0           0           0         0,0           1
sysInfoWindow#load                                      24,0          24          24         0,0           1
sysInfoWindow#uiPermissions                              0,0           0           0         0,0           1
sysInfoWindow#xml                                        0,4           0           2         0,8           5

Performance Statistics   2020-07-22 19:12:00 - 2020-07-22 19:14:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count

Performance Statistics   2020-07-22 19:14:00 - 2020-07-22 19:16:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count

Performance Statistics   2020-07-22 19:16:00 - 2020-07-22 19:18:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count

Performance Statistics   2020-07-22 19:18:00 - 2020-07-22 19:20:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count

Performance Statistics   2020-07-22 19:20:00 - 2020-07-22 19:22:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count

Performance Statistics   2020-07-22 19:22:00 - 2020-07-22 19:24:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count

Performance Statistics   2020-07-22 19:24:00 - 2020-07-22 19:26:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count

Performance Statistics   2020-07-22 19:26:00 - 2020-07-22 19:28:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count

Performance Statistics   2020-07-22 19:28:00 - 2020-07-22 19:30:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count

Performance Statistics   2020-07-22 19:30:00 - 2020-07-22 19:32:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count

Performance Statistics   2020-07-22 19:32:00 - 2020-07-22 19:34:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count

Performance Statistics   2020-07-22 19:34:00 - 2020-07-22 19:36:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count

Performance Statistics   2020-07-22 19:36:00 - 2020-07-22 19:38:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count

Performance Statistics   2020-07-22 19:38:00 - 2020-07-22 19:40:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count

Performance Statistics   2020-07-22 19:40:00 - 2020-07-22 19:42:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count

Performance Statistics   2020-07-22 19:42:00 - 2020-07-22 19:44:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count

Performance Statistics   2020-07-22 19:44:00 - 2020-07-22 19:46:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count

Performance Statistics   2020-07-22 19:46:00 - 2020-07-22 19:48:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count

Performance Statistics   2020-07-22 19:48:00 - 2020-07-22 19:50:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count
sysInfoWindow#afterShow                                  0,0           0           0         0,0           1
sysInfoWindow#beforeShow                                 0,0           0           0         0,0           1
sysInfoWindow#companion                                  0,0           0           0         0,0           1
sysInfoWindow#create                                     8,0           8           8         0,0           1
sysInfoWindow#init                                      41,0          41          41         0,0           1
sysInfoWindow#inject                                     0,0           0           0         0,0           1
sysInfoWindow#load                                      22,0          22          22         0,0           1
sysInfoWindow#uiPermissions                              0,0           0           0         0,0           1
sysInfoWindow#xml                                        0,6           0           3         1,2           5

Performance Statistics   2020-07-22 19:50:00 - 2020-07-22 19:52:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count

Performance Statistics   2020-07-22 19:52:00 - 2020-07-22 19:54:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count

Performance Statistics   2020-07-22 19:54:00 - 2020-07-22 19:56:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count

Performance Statistics   2020-07-22 19:56:00 - 2020-07-22 19:58:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count

Performance Statistics   2020-07-22 19:58:00 - 2020-07-22 20:00:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count

Performance Statistics   2020-07-22 20:00:00 - 2020-07-22 20:02:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count

Performance Statistics   2020-07-22 20:02:00 - 2020-07-22 20:04:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count

Performance Statistics   2020-07-22 20:04:00 - 2020-07-22 20:06:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count

Performance Statistics   2020-07-22 20:06:00 - 2020-07-22 20:08:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count

Performance Statistics   2020-07-22 20:08:00 - 2020-07-22 20:10:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count

Performance Statistics   2020-07-22 20:10:00 - 2020-07-22 20:12:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count

Performance Statistics   2020-07-22 20:12:00 - 2020-07-22 20:14:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count

Performance Statistics   2020-07-22 20:14:00 - 2020-07-22 20:16:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count

Performance Statistics   2020-07-22 20:16:00 - 2020-07-22 20:18:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count

Performance Statistics   2020-07-22 20:18:00 - 2020-07-22 20:20:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count

Performance Statistics   2020-07-22 20:20:00 - 2020-07-22 20:22:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count

Performance Statistics   2020-07-22 20:22:00 - 2020-07-22 20:24:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count

Performance Statistics   2020-07-22 20:24:00 - 2020-07-22 20:26:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count

Performance Statistics   2020-07-22 20:26:00 - 2020-07-22 20:28:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count
sysInfoWindow#afterShow                                  0,0           0           0         0,0           1
sysInfoWindow#beforeShow                                 0,0           0           0         0,0           1
sysInfoWindow#companion                                  0,0           0           0         0,0           1
sysInfoWindow#create                                    13,0          13          13         0,0           1
sysInfoWindow#init                                      41,0          41          41         0,0           1
sysInfoWindow#inject                                     0,0           0           0         0,0           1
sysInfoWindow#load                                      22,0          22          22         0,0           1
sysInfoWindow#uiPermissions                              0,0           0           0         0,0           1
sysInfoWindow#xml                                        0,4           0           2         0,8           5

Performance Statistics   2020-07-22 20:28:00 - 2020-07-22 20:30:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count

Performance Statistics   2020-07-22 20:30:00 - 2020-07-22 20:32:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count

Performance Statistics   2020-07-22 20:32:00 - 2020-07-22 20:34:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count

Performance Statistics   2020-07-22 20:34:00 - 2020-07-22 20:36:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count

Performance Statistics   2020-07-22 20:36:00 - 2020-07-22 20:38:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count

Performance Statistics   2020-07-22 20:38:00 - 2020-07-22 20:40:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count

Performance Statistics   2020-07-22 20:40:00 - 2020-07-22 20:42:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count

Performance Statistics   2020-07-22 20:42:00 - 2020-07-22 20:44:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count

Performance Statistics   2020-07-22 20:44:00 - 2020-07-22 20:46:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count

Performance Statistics   2020-07-22 20:46:00 - 2020-07-22 20:48:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count

Performance Statistics   2020-07-22 20:48:00 - 2020-07-22 20:50:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count

Performance Statistics   2020-07-22 20:50:00 - 2020-07-22 20:52:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count

Performance Statistics   2020-07-22 20:52:00 - 2020-07-22 20:54:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count

Performance Statistics   2020-07-22 20:54:00 - 2020-07-22 20:56:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count

Performance Statistics   2020-07-22 20:56:00 - 2020-07-22 20:58:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count

Performance Statistics   2020-07-22 20:58:00 - 2020-07-22 21:00:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count

Performance Statistics   2020-07-22 21:00:00 - 2020-07-22 21:02:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count

Performance Statistics   2020-07-22 21:02:00 - 2020-07-22 21:04:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count

Performance Statistics   2020-07-22 21:04:00 - 2020-07-22 21:06:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count

Performance Statistics   2020-07-22 21:06:00 - 2020-07-22 21:08:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count

Performance Statistics   2020-07-22 21:08:00 - 2020-07-22 21:10:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count

Performance Statistics   2020-07-22 21:10:00 - 2020-07-22 21:12:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count

Performance Statistics   2020-07-22 21:12:00 - 2020-07-22 21:14:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count

Performance Statistics   2020-07-22 21:14:00 - 2020-07-22 21:16:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count

Performance Statistics   2020-07-22 21:16:00 - 2020-07-22 21:18:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count

Performance Statistics   2020-07-22 21:18:00 - 2020-07-22 21:20:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count

Performance Statistics   2020-07-22 21:20:00 - 2020-07-22 21:22:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count

Performance Statistics   2020-07-22 21:22:00 - 2020-07-22 21:24:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count

Performance Statistics   2020-07-22 21:24:00 - 2020-07-22 21:26:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count

Performance Statistics   2020-07-22 21:26:00 - 2020-07-22 21:28:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count

Performance Statistics   2020-07-22 21:28:00 - 2020-07-22 21:30:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count

Performance Statistics   2020-07-22 21:30:00 - 2020-07-22 21:32:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count

Performance Statistics   2020-07-22 21:32:00 - 2020-07-22 21:34:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count

Performance Statistics   2020-07-22 21:34:00 - 2020-07-22 21:36:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count

Performance Statistics   2020-07-22 21:36:00 - 2020-07-22 21:38:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count

Performance Statistics   2020-07-22 21:38:00 - 2020-07-22 21:40:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count

Performance Statistics   2020-07-22 21:40:00 - 2020-07-22 21:42:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count

Performance Statistics   2020-07-22 21:42:00 - 2020-07-22 21:44:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count

Performance Statistics   2020-07-22 21:44:00 - 2020-07-22 21:46:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count

Performance Statistics   2020-07-22 21:46:00 - 2020-07-22 21:48:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count

Performance Statistics   2020-07-22 21:48:00 - 2020-07-22 21:50:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count

Performance Statistics   2020-07-22 21:50:00 - 2020-07-22 21:52:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count

Performance Statistics   2020-07-22 21:52:00 - 2020-07-22 21:54:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count

Performance Statistics   2020-07-22 21:54:00 - 2020-07-22 21:56:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count

Performance Statistics   2020-07-22 21:56:00 - 2020-07-22 21:58:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count

Performance Statistics   2020-07-22 21:58:00 - 2020-07-22 22:00:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count

Performance Statistics   2020-07-22 22:00:00 - 2020-07-22 22:02:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count

Performance Statistics   2020-07-22 22:02:00 - 2020-07-22 22:04:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count

Performance Statistics   2020-07-22 22:04:00 - 2020-07-22 22:06:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count

Performance Statistics   2020-07-22 22:06:00 - 2020-07-22 22:08:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count

Performance Statistics   2020-07-22 22:08:00 - 2020-07-22 22:10:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count

Performance Statistics   2020-07-22 22:10:00 - 2020-07-22 22:12:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count

Performance Statistics   2020-07-22 22:12:00 - 2020-07-22 22:14:00
