Performance Statistics   2020-07-22 09:44:00 - 2020-07-22 09:46:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count
sec$Role.browse#xml                                      2,0           0           6         2,8           3
sec$Role.browse.lookupWindowActions#init                 0,0           0           0         0,0           1
sec$Role.edit#afterShow                                  0,0           0           0         0,0           1
sec$Role.edit#beforeShow                                66,0          66          66         0,0           1
sec$Role.edit#companion                                  2,5           2           3         0,5           2
sec$Role.edit#create                                     5,0           5           5         0,0           1
sec$Role.edit#init                                       3,0           3           3         0,0           1
sec$Role.edit#inject                                    14,0          14          14         0,0           1
sec$Role.edit#load                                    1219,0        1219        1219         0,0           1
sec$Role.edit#uiPermissions                              0,0           0           0         0,0           1
sec$Role.edit#xml                                        0,8           0           5         1,9           6
sec$Role.edit.screensTabFrame#init                      18,0          18          18         0,0           1
sec$Role.edit.screensTabFrame#inject                    13,0          13          13         0,0           1
sec$Role.edit.screensTabFrame#load                     145,0         145         145         0,0           1
sec$Role.edit.screensTabFrame@screenPermissionsDs       554,0         554         554         0,0           1
sec$Role.edit.screensTabFrame@screenPermissionsTreeDs      1373,0        1373        1373         0,0           1
sec$Role.edit.specificTabFrame#init                     38,0          38          38         0,0           1
sec$Role.edit.specificTabFrame#inject                    6,0           6           6         0,0           1
sec$Role.edit.specificTabFrame#load                      7,0           7           7         0,0           1
sec$Role.edit.specificTabFrame@specificPermissionsDs        27,0          27          27         0,0           1
sec$Role.edit.specificTabFrame@specificPermissionsTreeDs         3,0           3           3         0,0           1
sec$Role.edit.windowActions#init                         0,0           0           0         0,0           1
sec$Role.edit.windowActions#inject                       0,0           0           0         0,0           1
sec$Role.edit.windowActions#load                         0,0           0           0         0,0           1
sec$Role.lookup#xml                                      0,0           0           0         0,0           1
sec$ScreenHistory.browse#xml                             2,0           2           2         0,0           1
sec$SessionAttribute.edit#xml                            2,0           2           2         0,0           1
sec$SessionLogEntry.browse#xml                           2,0           2           2         0,0           1
sec$User.browse#xml                                      9,0           9           9         0,0           1
sec$User.changePassword#xml                              4,0           4           4         0,0           1
sec$User.copySettings#xml                                1,0           1           1         0,0           1
sec$User.edit#xml                                        5,0           5           5         0,0           1
sec$User.lookup#xml                                      2,0           2           2         0,0           1
sec$User.newPasswords#xml                                2,0           2           2         0,0           1
sec$User.resetPasswords#xml                              5,0           5           5         0,0           1
sec$UserSessionEntity.browse#xml                         2,0           2           2         0,0           1
sec$UserSubstitution.edit#xml                            2,0           2           2         0,0           1
serverLog#xml                                            3,0           3           3         0,0           1
serverLogAddLoggerDialog#xml                             2,0           2           2         0,0           1
serverLogDownloadOptionsDialog#xml                       1,0           1           1         0,0           1
serverLogLoggerControlDialog#xml                         2,0           2           2         0,0           1
sessionMessageWindow#xml                                 2,0           2           2         0,0           1
settings#xml                                             2,0           2           2         0,0           1
specificTabFrame#create                                 27,0          27          27         0,0           1
specificTabFrame#xml                                     2,0           0           4         2,0           2
sys$Category.browse#xml                                  2,0           2           2         0,0           1
sys$Category.edit#xml                                    2,0           2           2         0,0           1
sys$CategoryAttribute.edit#xml                           5,0           5           5         0,0           1
sys$EntitySnapshot.view#xml                              2,0           2           2         0,0           1
sys$FileDescriptor.browse#xml                            3,0           3           3         0,0           1
sys$FileDescriptor.edit#xml                              4,0           4           4         0,0           1
sys$JmxInstance.edit#xml                                 2,0           2           2         0,0           1
sys$JmxInstance.lookup#xml                               2,0           2           2         0,0           1
sys$LockDescriptor.edit#xml                              3,0           3           3         0,0           1
sys$LockInfo.browse#xml                                  2,0           2           2         0,0           1
sys$ScheduledExecution.browse#xml                        2,0           2           2         0,0           1
sys$ScheduledTask.browse#xml                             2,0           2           2         0,0           1
sys$ScheduledTask.edit#xml                               8,0           8           8         0,0           1
sys$SendingMessage.attachments#xml                      11,0          11          11         0,0           1
sys$SendingMessage.browse#xml                            8,0           8           8         0,0           1
sysInfoWindow#xml                                        2,0           2           2         0,0           1
thirdpartyLicenseWindow#xml                              2,0           2           2         0,0           1
threadsMonitoringWindow#xml                              2,0           2           2         0,0           1

Performance Statistics   2020-07-22 09:50:00 - 2020-07-22 09:52:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count
attributesTabFrame#create                               35,0          35          35         0,0           1
attributesTabFrame#xml                                   2,0           0           4         2,0           2
entitiesTabFrame#create                                 70,0          70          70         0,0           1
entitiesTabFrame#xml                                     2,5           0           5         2,5           2
sec$Role.edit#companion                                  2,5           2           3         0,5           2
sec$Role.edit.attributesTabFrame#init                   33,0          33          33         0,0           1
sec$Role.edit.attributesTabFrame#inject                  9,0           9           9         0,0           1
sec$Role.edit.attributesTabFrame#load                   13,0          13          13         0,0           1
sec$Role.edit.attributesTabFrame@propertyPermissionsDs        20,0          20          20         0,0           1
